"","iso","language","status"
"1","rup","Aromanian","endagered"
"2","chr","Cherokee","endagered"
"3","chy","Cheyenne","endagered"
"4","mus","Creek","endagered"
"5","mhr","Eastern Mari","endagered"
"6","eml","Emilian-Romagnol","endagered"
"7","myv","Erzya","endagered"
"8","frp","Faetar","endagered"
"9","fur","Friulian","endagered"
"10","lmo","Gallo-Sicilian","endagered"
"11","haw","Hawaiian","endagered"
"12","wya","Huron-Wyandot","endagered"
"13","smn","Inari Saami","endagered"
"14","ang","Jarawa","endagered"
"15","lad","Judezmo","endagered"
"16","xal","Kalmyk","endagered"
"17","krl","Karelian","endagered"
"18","csb","Kashubian","endagered"
"19","sjd","Kildin Saami","endagered"
"20","lld","Ladin","endagered"
"21","lzz","Laz","endagered"
"22","lij","Ligurian","endagered"
"23","liv","Livonian","endagered"
"24","smj","Lule Saami","endagered"
"25","arn","Mapuche","endagered"
"26","mrh","Mara","endagered"
"27","ruq","Megleno-Romanian","endagered"
"28","xmf","Mingrelian","endagered"
"29","mdf","Moksha","endagered"
"30","new","Newar","endagered"
"31","niu","Niuean","endagered"
"32","pih","Norfolk-Pitcairn","endagered"
"33","frr","North Frisian","endagered"
"34","ryu","Okinawan","endagered"
"35","olo","Olonetsian","endagered"
"36","koi","Permyak","endagered"
"37","pcd","Picard","endagered"
"38","pms","Piedmontese","endagered"
"39","sje","Pite Saami","endagered"
"40","pdt","Plautdietsch","endagered"
"41","pnt","Pontic Greek","endagered"
"42","xsy","Saisiyat","endagered"
"43","sdc","Sassarese","endagered"
"44","stq","Saterlandic","endagered"
"45","srq","SirionÃ³","endagered"
"46","sms","Skolt Saami","endagered"
"47","jut","South Jutish","endagered"
"48","sma","South Saami","endagered"
"49","alt","Southern Altay","endagered"
"50","tru","Turoyo","endagered"
"51","udm","Udmurt","endagered"
"52","sju","Ume Saami","endagered"
"53","vep","Veps","endagered"
"54","vot","Vote","endagered"
"55","mrj","Western Mari","endagered"
